Date,CA,TX,FL,NY,PA
2018-01-31,491858.1104590991,190853.7921031504,219544.25701169056,312968.6193432694,171604.23980498608
2018-02-28,497298.4081383068,191839.19728104596,220771.03209542765,314079.7869062691,172309.54157157333
2018-03-31,502257.6141532301,192993.43320083097,222005.07306002124,315527.42071836564,173286.08610170046
2018-04-30,506336.6878324545,194073.3810080209,223228.0589097528,317146.0051623793,174213.67617039706
2018-05-31,510068.67190186406,195199.66007150765,224496.44406948888,319500.961682782,174950.4378986402
2018-06-30,513106.4239619475,196055.002433612,225564.89972788037,321626.1693757919,175314.38829900217
2018-07-31,515870.0807806418,197032.7096513452,226949.9684060457,324025.8315026573,175694.49684106014
2018-08-31,518835.02156806615,197912.26604063023,228303.0277845622,326366.0509418476,176131.83706975888
2018-09-30,522180.2776536841,198780.16408942488,229677.0141156969,328766.7892502322,176549.9425675026
2018-10-31,525738.610147491,199442.0851888388,230807.7301893212,330356.9890448786,176792.3439657345
2018-11-30,528254.9144760781,200192.68144152607,232008.4239501673,331488.1384952728,177065.31673405864
2018-12-31,529729.2768491117,201027.2836676177,233306.05332124585,332151.74413249496,177432.84444920463
2019-01-31,529269.453897982,201854.1808408872,234477.08014632505,333230.94708288606,178086.39813767932
2019-02-28,527688.3493729517,202582.9235577311,235527.8633754521,334751.0768916456,179069.38163037467
2019-03-31,525896.9631791612,203213.39611898529,236238.41541072092,336399.0413537917,180103.35441426348
2019-04-30,524868.7992316039,203745.8590957599,236751.47809084164,337785.4638808202,180938.58816463168
2019-05-31,524253.28462731984,204224.31723648217,237027.2354259511,338577.5224353936,181487.22181552323
2019-06-30,523873.7189040924,204688.47444296663,237426.7508055592,339544.1463632811,182085.92469804536
2019-07-31,524272.5877963736,205180.9466990173,237943.33005351748,340529.6721757174,182760.9852926476
2019-08-31,525940.7703593773,205771.23171690045,238647.8361632256,341708.7456573368,183469.5675496466
2019-09-30,528490.6494818999,206416.2493352445,239348.20096491897,342353.2994472521,184112.6754594338
2019-10-31,531496.409517272,207279.72807525008,240276.30927422145,343080.0653343396,184923.05939185407
2019-11-30,534769.0766970783,208302.1201508123,241545.7463717401,344531.5254815652,185954.63219063572
2019-12-31,538160.8159833546,209415.36626671228,243110.22249174348,346377.6527804041,187073.384918438
2020-01-31,540931.0387806494,210545.58249505557,245005.6482378652,348653.3628953872,188177.97996577373
2020-02-29,543158.8558826359,211638.99979785387,246791.3882815045,350388.30195511814,189335.6725288994
2020-03-31,545305.2530195933,212705.36942147868,248360.30130521295,351985.1503445758,190578.03433938627
2020-04-30,547287.216490576,213474.1175417269,249314.6057890704,353311.4835449932,191940.38976178155
2020-05-31,547537.5381695948,213748.6161944584,249577.78689769524,354465.4270443705,192766.83983103975
2020-06-30,546351.6654401788,213912.914543423,249709.75425335183,355089.2400482218,193108.5334469301
2020-07-31,546198.6341145929,214555.1727690856,250273.4318627428,355265.9193641641,193405.77635502792
2020-08-31,549387.7639199754,215950.34432821325,251827.23158866557,355671.025630058,194400.4039456729
2020-09-30,556467.752248749,218056.46456991552,254319.29878392784,357712.9840111003,196516.4808239088
2020-10-31,565558.9469235956,220433.4548165261,257268.20657678889,361059.9634603567,199174.47792734543
2020-11-30,576145.1656482769,223144.33219179776,260730.53312813345,365483.2260096397,202354.76212861817
2020-12-31,586704.546377337,225770.79604117703,264171.7874530921,370362.2893878941,205348.5067216706
2021-01-31,595472.9051912298,228528.06710858925,267733.4287524503,374980.9039023805,208104.81489555544
2021-02-28,602974.9845371692,231465.0363399731,271281.8221516532,379800.5077476266,210795.3333923601
2021-03-31,609771.2480093972,234790.3093306489,275073.5707617475,384303.8854137797,213595.92871631324
2021-04-30,618668.4599266977,238480.59045917972,279290.19723429374,388488.06204800255,216468.0439417212
2021-05-31,629322.3305873586,242703.7435157168,284392.9864730804,392670.97778302577,219352.75766904303
2021-06-30,640761.0471142057,247222.2623784967,290640.10280459863,396588.6395317098,222377.05160756095
2021-07-31,651099.6040179731,251367.5984935088,297037.4484043343,400049.8336182655,224570.92261266115
2021-08-31,658252.3881971445,254527.51902439576,302728.79431622743,402159.956813,225423.05086232288
2021-09-30,663102.6058181872,256837.4964303468,307340.3964604801,403203.1273043912,224683.69353563705
2021-10-31,667432.6115609362,259233.69052936105,311880.9238779635,404710.1546348189,224093.85783239876
2021-11-30,673141.8157439344,262336.1047982513,316960.2866392339,406975.8169710837,224199.12961647808
2021-12-31,680179.9716347341,265902.23819086235,322450.78975282464,409653.8992573864,225146.16734830465
2022-01-31,689995.4702338957,270593.9899623749,329343.2734792502,412808.6641890868,227439.0759881379
2022-02-28,702590.9175739657,275841.38093550387,337360.09657354426,416633.2776603541,230802.76141302977
2022-03-31,717779.0019092489,281774.9349970564,346822.52051363623,421737.77552870713,235011.6576399457
2022-04-30,731590.7182326292,287531.8247961981,356773.13910921203,426960.6344388623,238826.469981148
2022-05-31,742001.7418561302,292823.3346700995,366309.7256394809,431727.5982221933,241773.53231639508
2022-06-30,747537.1064572204,297441.9132822919,374786.5759371999,436288.7285485001,244074.6441947576
2022-07-31,747839.62050502,300250.22810842044,380538.2148365791,439365.21307692473,244959.6319151166
2022-08-31,743276.2387491405,301131.8307863192,383449.4776358879,440286.7689636292,244753.0042612472
2022-09-30,735977.776044936,300481.9041369113,383821.7374579395,438726.3896334504,243808.55405767396
2022-10-31,729407.3756068399,299552.62832418975,383346.0666859117,436906.63509733527,243514.64343090545
2022-11-30,724243.9596965987,298572.3925245426,382649.6022951999,435358.7846575116,243710.5047668345
2022-12-31,719817.9867631163,297312.85247908416,381815.7491718128,433784.1291246936,243915.5853706587
2023-01-31,712932.1103021,295650.9706697401,380487.4364179683,432136.0268222602,243736.6378806657
2023-02-28,705852.8796696463,294070.60980259045,379362.6557785063,430766.7879728594,243352.4131583037
