Date,CA,FL,NY,PA,TX
2018-03-31,72540.0,119292.0,74193.0,57183.0,96582.0
2018-04-30,78759.0,121850.0,79805.0,60294.0,102506.0
2018-05-31,85608.0,122918.0,86609.0,63921.0,109625.0
2018-06-30,90934.0,121259.0,92548.0,66466.0,115141.0
2018-07-31,96150.0,119593.0,96309.0,67058.0,119627.0
2018-08-31,99453.0,118548.0,97423.0,66654.0,121912.0
2018-09-30,101242.0,117182.0,96749.0,65381.0,120388.0
2018-10-31,101693.0,117232.0,95256.0,64492.0,117028.0
2018-11-30,98909.0,117353.0,91439.0,62340.0,112227.0
2018-12-31,92016.0,116879.0,84856.0,58492.0,106375.0
2019-01-31,85441.0,119188.0,78221.0,54427.0,102181.0
2019-02-28,81809.0,122819.0,74846.0,51581.0,100983.0
2019-03-31,84824.0,129327.0,77468.0,52407.0,105685.0
2019-04-30,89043.0,131095.0,83019.0,54844.0,111037.0
2019-05-31,94859.0,130574.0,90106.0,58222.0,117222.0
2019-06-30,98462.0,127117.0,95455.0,60339.0,121712.0
2019-07-31,100459.0,122965.0,97815.0,60734.0,124819.0
2019-08-31,99969.0,118495.0,97230.0,60152.0,125331.0
2019-09-30,98483.0,115011.0,95459.0,59078.0,122866.0
2019-10-31,95592.0,115459.0,92776.0,58027.0,119106.0
2019-11-30,89285.0,114493.0,87986.0,55444.0,113613.0
2019-12-31,79118.0,111879.0,79844.0,50850.0,106849.0
2020-01-31,70462.0,109794.0,72428.0,46501.0,101706.0
2020-02-29,66836.0,110789.0,68736.0,43990.0,100127.0
2020-03-31,68573.0,113913.0,69601.0,43586.0,103002.0
2020-04-30,68408.0,110846.0,67304.0,40829.0,103637.0
2020-05-31,69825.0,108546.0,66301.0,40557.0,105611.0
2020-06-30,70797.0,104652.0,67255.0,41576.0,105407.0
2020-07-31,73004.0,102420.0,72474.0,44421.0,105937.0
2020-08-31,72473.0,97474.0,75104.0,44580.0,101822.0
2020-09-30,71178.0,92603.0,74169.0,43929.0,95944.0
2020-10-31,70807.0,88779.0,71363.0,43038.0,89567.0
2020-11-30,66935.0,84542.0,66247.0,40371.0,82311.0
2020-12-31,59959.0,80071.0,58887.0,35491.0,74809.0
2021-01-31,53267.0,78633.0,53052.0,31687.0,69418.0
2021-02-28,50412.0,75317.0,48654.0,28890.0,64381.0
2021-03-31,53672.0,73610.0,48396.0,29493.0,65234.0
2021-04-30,56798.0,68852.0,49080.0,30915.0,66539.0
2021-05-31,60757.0,68747.0,52961.0,34370.0,71436.0
2021-06-30,63397.0,68648.0,57179.0,37121.0,75075.0
2021-07-31,66715.0,70569.0,60625.0,39741.0,80058.0
2021-08-31,69433.0,72657.0,62623.0,41652.0,84605.0
2021-09-30,70407.0,74035.0,61956.0,42087.0,86137.0
2021-10-31,69084.0,74184.0,60241.0,41424.0,84332.0
2021-11-30,63910.0,71244.0,55964.0,38651.0,79345.0
2021-12-31,54970.0,66581.0,49464.0,34433.0,72432.0
2022-01-31,47288.0,62343.0,42549.0,29834.0,65765.0
2022-02-28,44484.0,59587.0,37948.0,26667.0,60712.0
2022-03-31,49206.0,61277.0,39017.0,27131.0,61356.0
2022-04-30,54880.0,63126.0,41969.0,28966.0,63382.0
2022-05-31,61863.0,68061.0,46955.0,32203.0,69095.0
2022-06-30,68165.0,73855.0,51429.0,34917.0,76342.0
2022-07-31,75216.0,81489.0,55287.0,37135.0,85279.0
2022-08-31,79801.0,88295.0,56793.0,38172.0,92335.0
2022-09-30,80288.0,91103.0,55858.0,37802.0,95185.0
2022-10-31,77995.0,91739.0,53534.0,37022.0,95322.0
2022-11-30,72869.0,90326.0,49636.0,35098.0,92753.0
2022-12-31,65870.0,89093.0,44190.0,32046.0,88234.0
2023-01-31,58543.0,88868.0,39246.0,28995.0,84142.0
2023-02-28,53043.0,88339.0,35906.0,26734.0,80594.0
2023-03-31,51591.0,89642.0,35813.0,26863.0,81735.0
2023-04-30,51347.0,88132.0,36623.0,27330.0,84126.0
2023-05-31,52701.0,86915.0,38477.0,28477.0,88984.0
2023-06-30,53840.0,84933.0,38002.0,28914.0,92973.0
2023-07-31,54641.0,84173.0,40417.0,29131.0,95388.0
2023-08-31,55297.0,84459.0,40356.0,29467.0,97548.0
2023-09-30,55917.0,85274.0,39601.0,29722.0,98185.0
2023-10-31,57228.0,88268.0,39632.0,30344.0,98381.0
2023-11-30,56256.0,91482.0,38261.0,29822.0,97234.0
2023-12-31,52378.0,93712.0,35288.0,27925.0,94335.0
